id,jenis_kelamin,usia,tahun,akreditasi_sekolah,prov,kls10_sem1_Matematika,kls10_sem1_Fisika,kls10_sem1_Kimia,kls10_sem1_Biologi,kls10_sem1_BhsIndonesia,kls10_sem1_BhsInggris,kls10_sem2_Matematika,kls10_sem2_Fisika,kls10_sem2_Kimia,kls10_sem2_Biologi,kls10_sem2_BhsIndonesia,kls10_sem2_BhsInggris,kls11_sem1_Matematika,kls11_sem1_Fisika,kls11_sem1_Kimia,kls11_sem1_Biologi,kls11_sem1_BhsIndonesia,kls11_sem1_BhsInggris,kls11_sem2_Matematika,kls11_sem2_Fisika,kls11_sem2_Kimia,kls11_sem2_Biologi,kls11_sem2_BhsIndonesia,kls11_sem2_BhsInggris,kls12_sem1_Matematika,kls12_sem1_Fisika,kls12_sem1_Kimia,kls12_sem1_Biologi,kls12_sem1_BhsIndonesia,kls12_sem1_BhsInggris,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3,status_kelulusan
29241.0,P,18.0,,A,Prov. Jawa Timur,89.0,83.0,88.0,88.0,85.0,83.0,91.0,86.0,88.0,88.0,87.0,85.0,90.0,91.0,90.0,90.0,91.0,90.0,93.0,92.0,91.0,91.0,92.0,92.0,94.0,94.0,93.0,92.0,93.0,94.0,,,,,,,Tidak Lulus
11259.0,L,17.0,2023.0,A,Prov. Jawa Timur,94.0,94.0,93.0,94.0,93.0,92.0,94.0,95.0,94.0,95.0,94.0,94.0,96.0,97.0,95.0,96.0,96.0,95.0,98.0,98.0,96.0,97.0,98.0,96.0,,,,,,,,,,,,,Tidak Lulus
21436.0,L,19.0,2022.0,A,Prov. Jawa Timur,90.0,84.0,85.0,85.0,85.0,86.0,90.0,86.0,85.0,88.0,86.0,87.0,90.0,84.0,87.0,93.0,89.0,88.0,93.0,86.0,88.0,90.0,92.0,88.0,90.0,91.0,89.0,90.0,92.0,90.0,Nasional,,,Juara 3,,,Lulus
19980.0,L,19.0,,A,Prov. Bengkulu,84.0,84.0,79.0,71.0,85.0,82.0,84.0,85.0,84.0,73.0,90.0,78.14465928205483,83.0,89.0,86.0,86.0,86.0,88.0,82.0,86.0,85.0,87.0,86.0,89.0,90.0,90.0,87.0,92.0,93.0,90.0,Kabupaten/Kota,Propinsi,Propinsi,,,,Tidak Lulus
18212.0,L,,2023.0,A,Prov. Jawa Timur,83.0,83.0,77.0,86.0,83.0,86.0,82.0,86.0,83.0,84.0,84.0,84.0,84.0,92.0,85.0,83.0,92.0,91.0,85.0,91.0,89.0,83.0,95.0,93.0,88.0,92.0,93.0,87.0,90.0,94.0,,,,,,,Tidak Lulus
26518.0,P,18.0,2022.0,A,Prov. Jawa Timur,83.0,88.0,81.0,86.0,85.0,86.0,84.0,89.0,83.0,87.0,86.0,87.0,84.0,91.0,87.0,88.0,87.0,88.0,87.0,93.0,88.0,90.0,90.0,89.0,90.0,96.0,93.0,93.0,91.0,92.0,Nasional,Nasional,Nasional,,,,Tidak Lulus
2757.0,P,18.0,2024.0,A,Prov. Bali,80.0,73.0,83.0,87.0,77.0,85.0,84.0,78.0,84.0,88.0,82.0,88.0,84.0,77.0,84.49746658345212,89.0,83.0,88.0,84.0,80.0,84.0,89.0,83.0,88.0,85.0,85.0,89.0,89.0,84.0,,,,,,,,Tidak Lulus
23714.0,L,18.0,2022.0,A,Prov. Jawa Timur,87.0,91.0,85.0,88.0,86.0,87.0,89.0,92.0,86.0,88.0,87.0,88.0,89.0,92.0,87.0,90.0,88.0,90.0,89.0,92.0,87.0,91.0,92.0,92.0,87.0,92.0,89.0,92.0,93.0,91.0,,,,,,,Lulus
20223.0,L,18.0,,A,Prov. Jawa Timur,84.0,86.0,85.0,86.0,79.0,80.0,87.0,87.0,89.0,80.0,85.0,74.0,86.0,86.0,82.0,87.0,87.0,80.0,93.0,89.0,91.0,92.0,85.0,83.0,88.0,83.0,92.0,84.0,86.0,85.0,Nasional,Nasional,,,,,Tidak Lulus
16604.0,L,18.0,2023.0,A,Prov. Jawa Barat,85.0,80.0,86.0,74.0,82.0,85.0,88.0,89.0,91.0,80.0,84.0,86.0,89.0,86.0,91.0,86.0,91.0,87.0,95.0,88.0,93.0,89.0,91.0,90.0,97.0,88.0,95.0,95.0,92.0,92.0,Kabupaten/Kota,,,Juara 2,,,Tidak Lulus
